"id","type","desc","start","stop","ref","url"
31,"spawn","Wild vs. hatchery estimates based on peak live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall Chinook surveys.",2010,2015,"",""
31,"hatch","Data are total Natural escapement estimates based on peak live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall Chinook surveys.",2010,2015,"",""
31,"spawn","Data are total escapement estimates based on peak live plus dead spawner counts from the Condit Dam powerhouse (RM 3.3) downstream to the confluence with the Columbia River. Data usefulness for rating stock status is poor because of poor visibility in the river during fall Chinook surveys.",1965,2009,"",""
31,"hatch","Not defined",2013,2014,"",""
31,"spawn","Natural spawner estimate.",2013,2014,"",""
6,"hatch","Wild vs. hatchery estimates  expanded from redd counts from the mouth of Mulholland Creek (RM 18.4) downstream to the Jeep Club Bridge (Libby Road Bridge) (RM 13.1).",2010,2015,"",""
6,"spawn","Data are total Natural escapement estimates expanded from redd counts from the mouth of Mulholland Creek (RM 18.4) downstream to the Jeep Club Bridge (Libby Road Bridge) (RM 13.1).",2010,2015,"",""
6,"spawn","Data are total escapement estimates based on expansion of peak live plus dead spawner counts in the  Coweeman index area.",1964,1970,"",""
6,"spawn","Data are total escapement estimates expanded from redd counts from the mouth of Mulholland Creek (RM 18.4) downstream to the Jeep Club Bridge (Libby Road Bridge) (RM 13.1).",1971,2009,"",""
7,"hatch","Wild vs. hatchery estimates  for the Elochoman River expanded from annual peak live plus dead spawner counts from the Elochoman Hatchery (RM 9.5) downstream to the Foster Road bridge (RM 2.2).",2010,2015,"",""
7,"spawn","Data are total Natural escapement estimates for the Elochoman River expanded from annual peak live plus dead spawner counts from the Elochoman Hatchery (RM 9.5) downstream to the Foster Road bridge (RM 2.2).",2010,2015,"",""
7,"spawn","Data are total escapement estimates for Skamokawa Creek expanded from annual peak live plus dead spawner counts from the confluence of Standard and McDonald creeks (RM 6.8) downstream to Wilson Creek (RM 1.9).",1964,2009,"",""
100,"spawn","Spawning escapement based on index redd counts expanded using the 94-03 mean expansion factor.  Used 2.2 adults per redd adjusted up for jacks in the run to expand redds to spawners (modified Meekin 1967)",1977,1980,"",""
100,"spawn","Spawning escapement based on index redd counts expanded using the 94-03 mean expansion factor.  Used mean 1977 - 1986 fish per redd value to expand redds to spawners because jacks were not counted separately at dams.",1960,1976,"",""
100,"spawn","Spawning escapement based on index redd counts expanded using the 94-03 mean expansion factor.  Used Wenatchee fish per redd data to expand redds to spawners.",1981,1993,"",""
100,"spawn","Spawning escapement based on total census redd counts. Used Wenatchee fish per redd data to expand redds to spawners",1994,2015,"",""
8,"hatch","Wild vs. hatchery estimates based on annual live plus dead spawner counts from the Grays River Hatchery (RM 1.4 on the West Fork Grays River) downstream to the Covered Bridge on the mainstem Grays (RM 10.5).",2008,2015,"",""
8,"spawn","Data are total Natural escapement estimates expanded from annual peak live plus dead spawner counts from the Grays River Hatchery (RM 1.4 on the West Fork Grays River) downstream to the Covered Bridge on the mainstem Grays (RM 10.5). Data are mix of",2015,2015,"",""
8,"spawn","Data are total Natural escapement estimates expanded from annual peak live plus dead spawner counts from the Grays River Hatchery (RM 1.4 on the West Fork Grays River) downstream to the Covered Bridge on the mainstem Grays (RM 10.5). Data are mix of ",2008,2014,"",""
8,"spawn","Data are total escapement estimates expanded from annual peak live plus dead spawner counts from the Grays River Hatchery (RM 1.4 on the West Fork Grays River) downstream to the Covered Bridge on the mainstem Grays (RM 10.5).",1964,2007,"",""
11,"hatch","Wild vs. hatchery estimates based on live plus dead spawner counts from Italian Creek (RM 10) downstream to the I-5 bridge (RM 1.3), a distance of 8.7 miles.",2010,2015,"",""
11,"spawn","Data are total Natural escapement estimates expanded from annual peak live plus dead spawner counts from Italian Creek (RM 10) downstream to the I-5 bridge (RM 1.3), a distance of 8.7 miles.",2010,2015,"",""
11,"spawn","Data are total escapement estimates expanded from annual peak live plus dead spawner counts from Italian Creek (RM 10) downstream to the I-5 bridge (RM 1.3), a distance of 8.7 miles.",1964,2009,"",""
12,"spawn","Data are total escapement estimates expanded from annual peak live plus dead spawner counts from lower Kalama Falls (RM 10.6) downstream to the sinkhole at RM 5.2.",1980,2014,"",""
15,"spawn","Data are total Natural escapement estimates expanded from annual peak redd counts from the barrier dam at the Cowlitz Salmon Hatchery (RM 50.4) downstream to Kelso Bridge (RM 5.1).",2010,2013,"",""
15,"spawn","Data are total escapement estimates expanded from annual peak redd counts from the barrier dam at the Cowlitz Salmon Hatchery (RM 50.4) downstream to Kelso Bridge (RM 5.1).",1964,2009,"",""
101,"spawn","Index area redd counts expanded to total. Used fish per redd value of 2.2 adjusted for the proportion of age3 fish in the run (Meekin 1966) modified by LaVoy.",1977,1986,"",""
101,"spawn","Index area redd counts expanded to total. Used fish per redd value of 2.2. Hatchery composition from Beamesderfer et al. 1997.",1960,1976,"",""
101,"spawn","Total census redd counts. Used fish per redd value based on sex ratio of population including jacks assuming 1 redd per female.",2004,2015,"",""
101,"spawn","Total census redd counts. Used fish per redd value of 2.2 adjusted for the proportion of age3 fish in the run (Meekin 1966) modified by LaVoy.",1987,2003,"",""
17,"hatch","Wild vs. hatchery estimates based on live plus dead spawner counts from RM 3.5 downstream to the mouth of Germany Creek.",2010,2015,"",""
17,"spawn","Data are total Hatchery subbasin escapement estimates expanded from annual peak live plus dead spawner counts from the U.S Fish and Wildlife Service Abernathy Creek Salmon Culture Technology Center weir (RM 3.0) downstream to the mouth of Abernathy C",2010,2015,"",""
17,"spawn","Data are total Natural subbasin escapement estimates expanded from annual peak live plus dead spawner counts from RM 3.5 downstream to the mouth of Germany Creek.",2010,2015,"",""
17,"spawn","Data are total Natural subbasin escapement estimates expanded from annual peak live plus dead spawner counts from the Mill Creek road bridge (RM 2.0) downstream to the mouth of Mill Creek.",2010,2015,"",""
17,"spawn","Data are total Natural subbasin escapement estimates expanded from annual peak live plus dead spawner counts from the U.S Fish and Wildlife Service Abernathy Creek Salmon Culture Technology Center weir (RM 3.0) downstream to the mouth of Abernathy Cr",2010,2015,"",""
17,"spawn","Data are total subbasin escapement estimates expanded from annual peak live plus dead spawner counts from RM 3.5 downstream to the mouth of Germany Creek.",1981,2009,"",""
17,"spawn","Data are total subbasin escapement estimates expanded from annual peak live plus dead spawner counts from the Mill Creek road bridge (RM 2.0) downstream to the mouth of Mill Creek.",1984,2009,"",""
17,"spawn","Data are total subbasin escapement estimates expanded from annual peak live plus dead spawner counts from the U.S Fish and Wildlife Service Abernathy Creek Salmon Culture Technology Center weir (RM 3.0) downstream to the mouth of Abernathy Creek.",1981,2009,"",""
337,"spawn","Data are total escapement estimates based on redd counts in the mainstem Okanogan and Similkameen (Okanogan tributary) rivers.",1996,2014,"",""
337,"spawn","Data are total escapement estimates based on redd counts in the mainstem Okanogan only.",1967,2011,"",""
25,"hatch","Data are total Hatchery escapement estimates expanded from annual peak live plus dead spawner counts from the 4700 Road Bridge (RM 7.2) downstream to the county road bridge (RM 1.1).",2010,2015,"",""
25,"hatch","Data are total Hatchery escapement estimates expanded from annual peak live plus dead spawner counts from the North Toutle Hatchery weir (on the Green River) (RM 0.4) to the mouth of the Green River.",2010,2015,"",""
25,"spawn","Data are total Natural escapement estimates expanded from annual peak live plus dead spawner counts from the 4700 Road Bridge (RM 7.2) downstream to the county road bridge (RM 1.1).",2010,2015,"",""
25,"spawn","Data are total Natural escapement estimates expanded from annual peak live plus dead spawner counts from the North Toutle Hatchery weir (on the Green River) (RM 0.4) to the mouth of the Green River.",2010,2015,"",""
25,"spawn","Green River (Toutle) data. Data are total escapement estimates for just the Green River expanded from annual peak live plus dead spawner counts from the North Toutle Hatchery weir (on the Green River) (RM 0.4) to the mouth of the Green River.",1964,2009,"",""
25,"spawn","South Fork Toutle data. Data are total escapement estimates for just the SF Toutle River expanded from annual peak live plus dead spawner counts from the 4700 Road Bridge (RM 7.2) downstream to the county road bridge (RM 1.1).",1964,2009,"",""
93,"hatch","Census redd counts expanded by 2.2 adults per redd (Meekin 1967) adjusted upwards for proportion of jacks in the run",1986,1998,"",""
93,"hatch","Census redd counts expanded by sex ratio at Tucannon hatchery trap.",2000,2015,"",""
93,"hatch","Census redd counts expanded by sex ratio of carcasses adjusted for carcass recovery probability.",1990,1999,"",""
93,"spawn","Census redd counts expanded by 2.2 adults per redd (Meekin 1967) adjusted upwards for proportion of jacks in the run",1986,1998,"",""
93,"spawn","Census redd counts expanded by sex ratio at Tucannon hatchery trap.",2000,2015,"",""
93,"spawn","Census redd counts expanded by sex ratio of carcasses adjusted for carcass recovery probability.",1990,1999,"",""
93,"spawn","The estimated number of spawners was derived by expanding index surveys (conducted on a single date each year) based on contemporary (1986-2014) temporal spawn timing and distribution to estimate total number of redds in the index area based on survey date.  We then used a regression model of index area redd counts to total stream redd counts to estimate total redd abundance that could have been present from 1954-1985.  The total redd abundance was then expanded by 2.2 fish per redd to estimate spawning escapement.",1954,1985,"",""
28,"hatch","Data are escapement estimates expanded from annual peak redd counts from the barrier dam just below the Cowlitz Salmon Hatchery (RM 50.4) downstream to the Kelso Bridge (RM 5.1). This is not representative of total escapement since adults are trapped at the Cowlitz Salmon Hatchery, hauled upstream, and planted into the upper basin as part of a reintroduction effort.",2010,2013,"",""
28,"spawn","Data are escapement estimates expanded from annual peak redd counts from the barrier dam just below the Cowlitz Salmon Hatchery (RM 50.4) downstream to the Kelso Bridge (RM 5.1). This is not representative of total escapement since adults are trapped at the Cowlitz Salmon Hatchery, hauled upstream, and planted into the upper basin as part of a reintroduction effort.",2010,2013,"",""
28,"spawn","Data are escapement estimates expanded from annual peak redd counts from the barrier dam just below the Cowlitz Salmon Hatchery (RM 50.4) downstream to the Kelso Bridge (RM 5.1). This is not representative of total escapement since adults are trapped at the Cowlitz Salmon Hatchery, hauled upstream, and planted into the upper basin as part of a reintroduction effort.",1980,2009,"",""
28,"hatch","These are unexpanded hatchery origin counts of fish that are trapped at the Cowlitz Salmon Hatchery and released upstream as part of a re-introduction effort.",1996,2014,"",""
28,"spawn","These are unexpanded natural origin counts of fish that are trapped at the Cowlitz Salmon Hatchery and released upstream as part of a re-introduction effort.",2002,2014,"",""
27,"hatch","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Tilton Basin",2010,2013,"",""
27,"hatch","Counts of hatchery-origin fish trapped at the Cowlitz Salmon Hatchery and transported for release upstream of the dams. Part of a reintroduction effort.",2010,2013,"",""
27,"spawn","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Tilton Basin",2010,2013,"",""
27,"spawn","Counts of natural-origin fish trapped at the Cowlitz Salmon Hatchery and transported for release upstream of the dams. Part of a reintroduction effort.",2010,2013,"",""
27,"spawn","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Tilton Basin.",1996,2009,"",""
27,"spawn","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Upper Cowlitz and Cispus basins.",1998,2009,"",""
29,"hatch","Data are total hatchery escapement estimates expanded from peak live plus dead spawner counts from Shipherd Falls (RM 2.2) downstream to the confluence with the Columbia River.",2010,2015,"",""
29,"hatch","Data are total hatchery escapement estimates expanded from peak live plus dead spawner counts.",2010,2015,"",""
29,"spawn","Data are total natural escapement estimates expanded from peak live plus dead spawner counts from Shipherd Falls (RM 2.2) downstream to the confluence with the Columbia River.",2010,2015,"",""
29,"spawn","Data are total natural escapement estimates expanded from peak live plus dead spawner counts.",2010,2015,"",""
29,"spawn","Data are total escapement estimates for just the Little White Salmon River expanded from peak live plus dead spawner counts.",1997,2009,"",""
29,"spawn","Wind River tule chinook data. Data are total escapement estimates for just the Wind River expanded from peak live plus dead spawner counts from Shipherd Falls (RM 2.2) downstream to the confluence with the Columbia River.",1964,2009,"",""
30,"hatch","Hatchery escapement estimates expanded from annual peak live plus dead spawner counts from Washougal Hatchery (RM 19.8) downstream to Timber Trails (17.6) and from Salmon Falls (RM 15.4) downstream to Ford�s takeout (11.9) on the mainstem Washougal.",2010,2015,"",""
30,"spawn","Natural escapement estimates expanded from annual peak live plus dead spawner counts from Washougal Hatchery (RM 19.8) downstream to Timber Trails (17.6) and from Salmon Falls (RM 15.4) downstream to Ford�s takeout (11.9) on the mainstem Washougal.",2010,2015,"",""
30,"spawn","Data are total escapement estimates expanded from annual peak live plus dead spawner counts from Washougal Hatchery (RM 19.8) downstream to Timber Trails (17.6) and from Salmon Falls (RM 15.4) downstream to Ford�s takeout (11.9) on the mainstem Washougal.",1964,2009,"",""
102,"hatch","Estimated spawners based on a single survey conducted near peak spawning multiplied by 1.496 (LaVoy).  Fish per redd value is 2.2",1969,1980,"",""
102,"hatch","Estimated spawners based on a single survey conducted near peak spawning multiplied by 1.496 (LaVoy).  Fish per redd value is 2.2 adjusted up by the proportion of age 3 fish in the run (Modified Meekin)",1981,1986,"",""
102,"hatch","Estimated spawners based on total census redd count.  Fish per redd value is 2.2 adjusted up by the proportion of age 3 fish in the run (Modified Meekin)",1987,1999,"",""
102,"spawn","Estimated spawners based on total census redd count.  Fish per redd value is sex ratio of the population assuming one redd per female",2000,2015,"",""
102,"spawn","Estimated spawners based on a single survey conducted near peak spawning multiplied by 1.496 (LaVoy).  Fish per redd value is 2.2",1960,1980,"",""
102,"spawn","Estimated spawners based on a single survey conducted near peak spawning multiplied by 1.496 (LaVoy).  Fish per redd value is 2.2 adjusted up by the proportion of age 3 fish in the run (Modified Meekin)",1981,1986,"",""
102,"spawn","Estimated spawners based on total census redd count.  Fish per redd value is 2.2 adjusted up by the proportion of age 3 fish in the run (Modified Meekin)",1987,1999,"",""
102,"spawn","Estimated spawners based on total census redd count.  Fish per redd value is sex ratio of the population assuming one redd per female",2000,2015,"",""
115,"spawn","Data are total Grays Harbor escapement estimates based on total live counts in four index reaches (three in the Chehalis River basin and one in the Humptulips River) then expanded to basin escapement based on relationship of current year index count to base year total live index counts associated with the escapement goal.",1980,2014,"",""
115,"spawn","Hatchery spawner abundance based on spawner estimate via Jolly-Seber mark recapture method, carcass tagging.",2001,2014,"",""
115,"spawn","Natural spawner abundance based on spawner estimate via Jolly-Seber mark recapture method, carcass tagging.",2001,2014,"",""
118,"hatch","Hatchery spawner estimate, derived using Jolly-Seber mark recapture.",2004,2014,"",""
118,"hatch","Volitional returns- Adults that volitionally returned to Duncan Creek.  Either captured in the adult trap just upstream from the creeks mouth, found/observed during spawning ground surveys in years when no adult trap was operated, or captured using beach seines in the creek.",2004,2014,"",""
118,"spawn","Natural spawner estimate, derived using Jolly-Seber mark recapture.",2000,2014,"",""
118,"spawn","Volitional returns- Adults that volitionally returned to Duncan Creek.  Either captured in the adult trap just upstream from the creeks mouth, found/observed during spawning ground surveys in years when no adult trap was operated, or captured using beach seines in the creek.",2001,2014,"",""
118,"hatch","Translocated- Adults that were captured at nearby staging/spawning locations outside of Duncan Creek, but still within the Lower Gorge population group, and transferred to the spawning channel at Duncan Creek.",2004,2014,"",""
118,"spawn","Spawner peak count.",1967,1985,"",""
118,"spawn","Translocated- Adults that were captured at nearby staging/spawning locations outside of Duncan Creek, but still within the Lower Gorge population group, and transferred to the spawning channel at Duncan Creek.",2001,2014,"",""
123,"spawn","Data are Bonneville Dam ladder counts.",1938,2014,"",""
124,"hatch","Hatchery spawner estimate, derived using Jolly-Seber mark recapture.",2004,2014,"",""
124,"spawn","Natural spawner estimate, derived using Jolly-Seber mark recapture.",2002,2014,"",""
124,"spawn","Lacamas Creek subpopulation spawner estimate. AUC or peak count.",2002,2011,"",""
124,"spawn","Washougal River subpopulation spawner estimate. AUC or peak count.",2002,2011,"",""
138,"hatch","Adult hatchery-origin spawners. Estimates are based on expanded redd counts using GRTS sampling designs, yielding an observed redd density (redds/mile). Adult estimates are based on adult density * estimated available spawning habitat. Carcasses were sampled for adipose fin marks and sex to obtain an estimate of marked (hatchery) adults.",2010,2014,"",""
138,"spawn","Adult natural-origin spawners. Estimates are based on expanded redd counts using GRTS sampling designs, yielding an observed redd density (redds/mile). Adult estimates are based on adult density * estimated available spawning habitat. Carcasses were sampled for adipose fin marks and sex to obtain an estimate of marked (hatchery) adults.",2010,2014,"",""
138,"spawn","Data are from a temporary trap structure put in place within a water control structure during the fall to capture returning adult chum salmon.  The trap is located at the mouth of Duncan Creek.  Coho are captured incidentally and enumerated.",2006,2009,"",""
141,"hatch","Hatchery spawner estimate.",2010,2012,"",""
141,"spawn","Natural spawner estimate.",2010,2012,"",""
148,"hatch","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Tilton Basin",1996,2013,"",""
148,"spawn","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Tilton Basin",1996,2013,"",""
149,"hatch","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Upper Cowlitz and Cispus basins.",1996,2014,"",""
149,"spawn","Census count of fish captured at the Cowlitz Barrier Dam and trucked upstream for release into the Upper Cowlitz and Cispus basins.",1998,2014,"",""
150,"spawn","Data are escapement estimates expanded from annual census redd counts on the Wind River below Shipherd Falls and in the Little Wind River.",2007,2013,"",""
151,"hatch","Hatchery spawner estimate.",2010,2014,"",""
151,"spawn","Natural spawner estimate.",2010,2014,"",""
227,"spawn","Data are total escapement estimates based on redd counts in index areas in the mainstem from the mouth to the confluence with Mulholland Creek (RM 18.4) and in Mulholland, Baird, and Goble creeks. Additional surveys are carried out in Mulholland, Baird, and, Goble creeks during peak spawning.",1987,2015,"",""
228,"spawn","Data are total escapement estimates expanded from snorkel counts of natural-origin (i.e., not adipose-clipped) fish.  The hatchery mark rate is 100%.  A methodological change from raw fish counts in an index reach to an expanded mark-resight estimate was first instituted in 2002.  Overlap in methods from 2002-2005 allowed application of an expansion factor to estimates prior to 2002.",1996,2015,"",""
229,"spawn","Data are escapement index estimates based on redd counts in index areas from the mouth of the East Fork Lewis to upper Rock Creek. Prior to flooding in early 1996, additional areas were surveyed but are no longer accessible.",1986,2014,"",""
229,"spawn","Data are total escapement estimates based on AUC adjusted for observer efficiency for mainstem counts and redd count expansion based on index counts for tributaries.",1996,2015,"",""
328,"hatch","Priest Rapids minus Wells Dam counts apportioned to population by radio telemetry estimates.  Harvest and broodstock removed. 10% prespawn mortality applied.  Age composition from fish trapped and sampled at Priest Rapids Dam.",1987,2015,"",""
328,"spawn","Priest Rapids minus Wells Dam counts apportioned to population by radio telemetry estimates.  Harvest and broodstock removed. 10% prespawn mortality applied.  Age composition from fish trapped and sampled at Priest Rapids Dam.",1987,2015,"",""
232,"spawn","Data are total escapement estimates based on trap counts at lower Kalama Falls (RM 10.5).",1977,2015,"",""
233,"spawn","Data are total escapement estimates based on counts at the adult trap at lower Kalama Falls (RM 10.5) expanded to account for fish that spawn below the trap.",1977,2015,"",""
254,"hatch","Data are counts of adipose-clipped summer steelhead (May-Oct) handled at the Lyle Falls #5 fishway at RM 2.2 operated by the Confederated Tribes and Bands of the Yakama Nation.",2004,2014,"",""
254,"hatch","Data are counts of adipose-clipped winter steelhead (Nov-April) handled at the Lyle Falls #5 fishway at RM 2.2 operated by the Confederated Tribes and Bands of the Yakama Nation.",2004,2014,"",""
254,"spawn","Data are counts of adipose-intact summer steelhead (May-Oct) handled at the Lyle Falls #5 fishway at RM 2.2 operated by the Confederated Tribes and Bands of the Yakama Nation.",2005,2014,"",""
254,"spawn","Data are counts of adipose-intact winter steelhead (Nov-April) handled at the Lyle Falls #5 fishway at RM 2.2 operated by the Confederated Tribes and Bands of the Yakama Nation.",2005,2014,"",""
329,"hatch","Wells Dam counts approtioned to population by radio telemetry estimates.  Harvest and broodstock removed. 10% prespawn mortality applied.  Age composition from fish trapped and sampled at Priest Rapids Dam.",1988,2015,"",""
329,"spawn","Wells Dam counts approtioned to population by radio telemetry estimates.  Harvest and broodstock removed. 10% prespawn mortality applied.  Age composition from fish trapped and sampled at Priest Rapids Dam.",1988,2015,"",""
256,"spawn","Abundance estimates based on Yakima River drainage aggregate annual counts at Prosser Dam and allocated to the four Yakima steelhead populations (i.e., upper Yakima, Satus, Toppenish, Naches) based on radio-tracking data and population-specific redd counts. Data from Yakama Nation biological staff in agreement with WDFW, NOAA, and in accordance with population viability goals of the Interior Columbia Recovery Team (ICTRT).",1984,2014,"",""
238,"spawn","Data are Green River tributary escapement estimates based on redd counts in  Devils Creek, Cascade Creek, and Elk Creek, and represent an index of Green River tributary abundance.",1985,2004,"",""
238,"spawn","Data are total escapement estimates for the Green River based on expansion of redd counts from mainstem and tributary index areas, including Devils Creek, Cascade Creek and Elk Creek.",2005,2015,"",""
238,"spawn","Data are trap counts from the North Toutle Fish Collection Facility and represent a census count of the natural origin steelhead hauled above the Sediment Retention Structure and released into the upper NF Toutle River.",1989,2015,"",""
330,"hatch","Wells Dam counts approtioned to population by radio telemetry estimates.  Harvest and broodstock removed. 10% prespawn mortality applied.  Age composition from fish trapped and sampled at Priest Rapids Dam.",1988,2015,"",""
330,"spawn","Wells Dam counts approtioned to population by radio telemetry estimates.  Harvest and broodstock removed. 10% prespawn mortality applied.  Age composition from fish trapped and sampled at Priest Rapids Dam.",1988,2015,"",""
259,"hatch","Abundance estimates based on Yakima River drainage aggregate annual counts at Prosser Dam and allocated to the four Yakima steelhead populations (i.e., upper Yakima, Satus, Toppenish, Naches) based on radio-tracking data and population-specific redd counts. Data from Yakama Nation biological staff in agreement with WDFW, NOAA, and in accordance with population viability goals of the Interior Columbia Recovery Team (ICTRT).",1984,2014,"",""
